"source_type","source_id","source_title","source_url","target_url","action","status","notes"
"page","573","Sklep","https://drukarniareklamova.pl/sklep/","https://drukarniareklamova.pl/sklep/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"page","574","Koszyk","https://drukarniareklamova.pl/koszyk/","https://drukarniareklamova.pl/koszyk/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"page","575","Zamówienie","https://drukarniareklamova.pl/zamowienie/","https://drukarniareklamova.pl/zamowienie/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"page","576","Moje konto","https://drukarniareklamova.pl/moje-konto/","https://drukarniareklamova.pl/moje-konto/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"page","606","Regulamin","https://drukarniareklamova.pl/regulamin/","https://drukarniareklamova.pl/regulamin/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"page","609","Polityka prywatności","https://drukarniareklamova.pl/polityka-prywatnosci/","https://drukarniareklamova.pl/polityka-prywatnosci/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"page","626","Polityka plików cookie","https://drukarniareklamova.pl/polityka-plikow-cookie/","https://drukarniareklamova.pl/polityka-plikow-cookie/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"homepage","652","Strona główna","https://drukarniareklamova.pl/","https://drukarniareklamova.pl/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"page","2163","Kontakt","https://drukarniareklamova.pl/kontakt/","https://drukarniareklamova.pl/kontakt/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"page","2177","O nas","https://drukarniareklamova.pl/o-nas/","https://drukarniareklamova.pl/o-nas/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","848","Baner Borówki","https://drukarniareklamova.pl/produkt/baner-borowki/","https://drukarniareklamova.pl/produkt/baner-borowki/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","937","Baner Frytki","https://drukarniareklamova.pl/produkt/baner-frytki/","https://drukarniareklamova.pl/produkt/baner-frytki/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","943","Baner Wymiana opon","https://drukarniareklamova.pl/produkt/baner-wymiana-opon/","https://drukarniareklamova.pl/produkt/baner-wymiana-opon/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
"product","949","Baner Ziemniaki","https://drukarniareklamova.pl/produkt/baner-ziemniaki/","https://drukarniareklamova.pl/produkt/baner-ziemniaki/","preserve_200","proposed","Zachować dokładny adres i treść odpowiadającą intencji URL."
